epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.8125,0.9574384689331055,,
0,99,0.859375,0.6123770475387573,,
0,149,0.828125,0.6700295805931091,,
0,199,0.875,0.45811381936073303,,
0,249,0.8125,0.5962042212486267,,
0,299,0.953125,0.4569147825241089,,
0,349,0.84375,0.5833226442337036,,
0,399,0.875,0.4566035866737366,,
0,449,0.890625,0.4126855731010437,,
0,499,0.921875,0.3321935832500458,,
0,549,0.8125,0.5086069107055664,,
0,599,0.890625,0.4305124580860138,,
0,649,0.84375,0.40100979804992676,,
0,699,0.96875,0.18264997005462646,,
0,749,0.9375,0.32884490489959717,,
0,799,0.890625,0.30038443207740784,,
0,849,0.890625,0.3968401253223419,,
0,899,0.875,0.5125559568405151,,
0,936,,,0.9036458134651184,0.3472408652305603
1,949,0.875,0.36953940987586975,,
1,999,0.90625,0.3804531693458557,,
1,1049,0.90625,0.29923883080482483,,
1,1099,0.859375,0.37731948494911194,,
1,1149,0.921875,0.23766475915908813,,
1,1199,0.859375,0.43704357743263245,,
1,1249,0.96875,0.19317582249641418,,
1,1299,0.96875,0.24667756259441376,,
1,1349,0.921875,0.27189087867736816,,
1,1399,0.953125,0.2399887889623642,,
1,1449,0.890625,0.3924855589866638,,
1,1499,0.875,0.6195195317268372,,
1,1549,0.859375,0.35046422481536865,,
1,1599,0.921875,0.35844528675079346,,
1,1649,0.890625,0.28012195229530334,,
1,1699,0.90625,0.3037411570549011,,
1,1749,0.90625,0.2568301558494568,,
1,1799,0.875,0.38622796535491943,,
1,1849,0.875,0.4731990396976471,,
1,1873,,,0.9118589758872986,0.3206535875797272
2,1899,0.875,0.3506206274032593,,
2,1949,0.921875,0.3353184163570404,,
2,1999,0.875,0.47195687890052795,,
2,2049,0.875,0.5589398741722107,,
2,2099,0.953125,0.17988844215869904,,
2,2149,0.9375,0.2795763611793518,,
2,2199,0.9375,0.2636878490447998,,
2,2249,0.90625,0.33768701553344727,,
2,2299,0.921875,0.21417254209518433,,
2,2349,0.84375,0.465934157371521,,
2,2399,0.90625,0.22431614995002747,,
2,2449,0.96875,0.23583702743053436,,
2,2499,0.875,0.37503504753112793,,
2,2549,0.921875,0.2411082684993744,,
2,2599,0.90625,0.375306099653244,,
2,2649,0.890625,0.31995075941085815,,
2,2699,0.828125,0.48950299620628357,,
2,2749,0.9375,0.23825031518936157,,
2,2799,0.9375,0.2278366982936859,,
2,2810,,,0.9129607081413269,0.30715903639793396
3,2849,0.90625,0.24205909669399261,,
3,2899,0.953125,0.30837908387184143,,
3,2949,0.96875,0.27304261922836304,,
3,2999,0.96875,0.25318217277526855,,
3,3049,0.953125,0.16331683099269867,,
3,3099,0.921875,0.27610012888908386,,
3,3149,0.96875,0.10355012863874435,,
3,3199,0.90625,0.32213929295539856,,
3,3249,0.90625,0.22294513881206512,,
3,3299,0.9375,0.23398227989673615,,
3,3349,0.890625,0.2722272574901581,,
3,3399,0.90625,0.23124472796916962,,
3,3449,0.875,0.366653174161911,,
3,3499,0.859375,0.6189165711402893,,
3,3549,0.953125,0.25003963708877563,,
3,3599,0.875,0.4459449350833893,,
3,3649,0.90625,0.36382824182510376,,
3,3699,0.90625,0.43639248609542847,,
3,3747,,,0.9160656929016113,0.29701724648475647
4,3749,0.890625,0.3472638428211212,,
4,3799,0.90625,0.2901683747768402,,
4,3849,0.921875,0.233107328414917,,
4,3899,0.90625,0.2169005125761032,,
4,3949,0.875,0.3739416003227234,,
4,3999,0.921875,0.23000599443912506,,
4,4049,0.875,0.4361110031604767,,
4,4099,0.90625,0.31078556180000305,,
4,4149,0.90625,0.3141745328903198,,
4,4199,1.0,0.12863007187843323,,
4,4249,0.875,0.2720131576061249,,
4,4299,0.9375,0.2912572920322418,,
4,4349,0.96875,0.1768467277288437,,
4,4399,0.890625,0.4449622929096222,,
4,4449,0.9375,0.18615329265594482,,
4,4499,0.96875,0.16352541744709015,,
4,4549,0.921875,0.299722284078598,,
4,4599,0.96875,0.15125800669193268,,
4,4649,0.890625,0.3548532724380493,,
4,4684,,,0.9182692170143127,0.2911827564239502
